"","scientific_name","body_mass","beak_peak_length","wing_length","tail_length","tarsus_length","clutch_num","egg_volume","nest_shape","nest_site","flock_status","migration_status","body_length_log"
"1402","Pyrrhoplectes epauletta",0.12457337883959,11.25,74.625,63.75,18.75,2.1,2904.87,"2","3","1","R",4.98702542845712
"1403","Rhodopechys sanguineus",0.210294117647059,12.8,101.25,57.75,20,4.5,3002.88,"1","1","1","S",5.13579843705026
"1404","Bucanetes mongolicus",0.157370517928287,9.75,88,55,17.25,4,2278.89,"2","1","1","RV",4.83230575857184
"1405","Carpodacus sibiricus",0.127906976744186,8.25,68.375,74,15.3,5,2270.24,"2","3","1","RSWP",5.01396308418893
"1406","Carpodacus sipahi",0.243283582089552,14.5,96.125,68.75,19.5,NA,4131,"2","4","1","R",5.12098335126512
"1407","Carpodacus sillemi",0.192666666666667,13.4,118,60.25,19.9,NA,NA,"","","0","R",5.01063529409626
"1408","Rhodospiza obsoleta",0.174061433447099,11.25,84,63,18,5,2558.27,"2","3","1","R",4.98702542845712
"1409","Callacanthis burtoni",0.243828571428571,NA,97.3,69.4,19.4,NA,NA,"","","1","R",5.16478597392351
"1410","Carpodacus davidianus",0.132586206896552,NA,NA,NA,NA,NA,NA,"","","1","R",4.97673374242057
"1411","Carpodacus formosanus",0.14795008912656,10.875,68.5,58.75,19.75,4.5,NA,"2","3","1","R",4.94342654440281
"1412","Carpodacus verreauxii",0.122866894197952,10.375,71,67.25,20,4.5,3474.71,"","","1","R",4.98702542845712
"1413","Carpodacus dubius",0.169390787518574,11.5,81.5,80.125,22.125,4,2911.49,"2","3","1","R",5.12545096852484
"1414","Calcarius lapponicus",0.169036334913112,10,89.25,66,18.5,4,2911.49,"2","1","1","WPV",5.06417606102429
"1415","Plectrophenax nivalis",0.230075187969925,10.5,106.5,64.5,20.75,5,3032.53,"1","5","1","WV",5.11349267953596
"1416","Melophus lathami",0.16504854368932,12.875,80.25,69,20.25,4,3242.58,"2","1","1","RV",5.0401940963378
"1417","Emberiza siemsseni",0.121513944223108,9.5,67.125,56.75,18.75,NA,2868.22,"2","3","1","SW",4.83230575857184
"1418","Emberiza citrinella",0.1685185185,10.5,86.75,76.5,20.25,4.5,3440.03,"2","1","1","SWV",5.19295685089021
"1419","Emberiza leucocephalos",0.157894736842105,10.25,93.75,86.25,20.25,4.5,3556.46,"2","1","1","RSWV",5.16906253069077
"1420","Emberiza koslowi",0.155714285714286,11.75,90.5,84.5,22.75,2.7,2868.22,"2","3","1","R",5.16478597392351
"1421","Emberiza cia",0.120443740095087,10.5,76.375,74.875,18.75,4,2868.22,"2","3","1","R",5.06101150142132
"1422","Emberiza godlewskii",0.121187800963082,10.375,74,72.75,19.375,4,2868.22,"2","1","1","RSW",5.04825215766756
"1423","Emberiza cioides",0.15086887835703,10.5,77.25,76.5,19,4.5,2603.62,"2","3","1","RSWV",5.06417606102429
"1424","Emberiza jankowskii",0.137820512820513,9.4,75,72.25,20,5,3470.04,"2","3","1","SWP",5.04985600724954
"1425","Emberiza buchanani",0.129032258064516,11.4,83.25,71.33333333,19.73333333,4.5,2887.35,"2","1","1","S",5.09221528108868
"1426","Emberiza hortulana",0.136085626911315,11.25,83.75,67.5,20.125,4.5,3242.58,"2","1","1","SP",5.09681299033731
"1427","Emberiza yessoensis",0.122242647058824,9.625,66.75,63.5,18.5,5.5,1749.3,"2","1","1","SWP",4.91265488573605
"1428","Emberiza tristrami",0.11859649122807,10.75,73,62.25,19.5,5.5,4048.38,"2","1","1","SWP",4.95934199970871
"1429","Emberiza fucata",0.141666666666667,11.5,71,67.75,21.5,5,2489.06,"2","1","1","RSWP",5.01063529409626
"1430","Emberiza pusilla",0.106003752345216,9,67.25,58.75,17.25,5,2166,"2","1","1","WP",4.89222706304595
"1431","Emberiza chrysophrys",0.131666666666667,10.5,76.5,63,19.5,4,2564.48,"2","4","1","WP",5.01063529409626
"1432","Emberiza rustica",0.130584192439863,10.25,76.25,60.25,18.25,4.5,3390.87,"2","1","1","WP",4.98017608661155
"1433","Emberiza elegans",0.115,9.875,71.5,67.5,19.5,6,2611.2,"2","3","1","SWP",4.97673374242057
"1434","Emberiza aureola",0.157487091222031,10.75,74.25,59,20.25,4.5,2833.15,"2","1","1","SWP",4.97845639573202
"1435","Emberiza rutila",0.134057971014493,10,72,58.25,19.25,4.5,2005.15,"2","1","1","SWP",4.92725368515721
"1436","Emberiza melanocephala",0.170963364993216,11.75,89.5,69.25,21,4.5,4392.24,"2","1","1","PV",5.21629353106945
"1437","Emberiza bruniceps",0.14306784660767,12,81.75,70,20.4,4.5,3393.9,"2","3","1","S",5.1328529268205
"1438","Emberiza sulphurata",0.125,10.5,69.75,58.125,17.75,4,1799.28,"2","3","1","WP",4.9416424226093
"1439","Emberiza spodocephala",0.134205933682373,10.125,67.75,63.625,19.625,4.5,2741.76,"2","3","1","SWPV",4.96459135559485
"1440","Emberiza variabilis",0.125373134328358,12.875,84.5,69.25,21.25,5,3124.07,"2","1","1","PV",5.12098335126512
"1441","Emberiza pallasi",0.0956678700361011,8.75,68.5,63.5,18.5,4.5,1799.28,"2","1","1","SWP",4.93087032562739
"1442","Emberiza schoeniclus",0.129967426710098,9.525,76.875,68.25,19.5,5,2206.85,"2","1","1","SWPV",5.03370056702725
"1443","Emberiza calandra",0.262382864792503,13.66666667,94.75,86.5,25.43333333,5,5155.08,"2","1","2","SW",5.22977082401293
"1444","Emberiza stewarti",0.0941176470588235,NA,78,67.4,17.4,3.95,NA,"2","1","","V",5.13579843705026
"1445","Zonotrichia leucophrys",0.215384615384615,NA,78.7,70.6,22.8,3.95,NA,"","","1","V",4.86753445045558
