scientific_name,body_mass,body_length,tail_length,Hind_foot_length_mm,Ear_length_mm,Maturity_d.x,Gestation_length_d,Litter_size_n,Litters_per_year_n,Generation_length_d.x,Diet,Activity_cycle,Habitat_.breadth,Distribution.type
Hemitragus jemlahicus,79000,1500,105,,,"1,533",180~242,1,1,"2,555",食草或者树叶 herbivores,昼行性 diurnal,5,Ha
Capra sibirica,65000,1425,150,,,"1,169",147~180,1.2,0.8,"2,875",食草或者树叶 herbivores,昼行性 diurnal,6,Pg
Pseudois nayaur,52500,1425,165,85,110,421,160,1.5,1.4,"2,752",食草或者树叶 herbivores,昼行性 diurnal,6,Pa
Ovis ammon,117500,1900,140,465,125,555,150~160,1.2,1,"2,920",食草或者树叶 herbivores,晨昏 crepuscular,6,Pa
Ovis collium,101500,1675,135,,117.5,555,170,1.2,1,,食草或者树叶 herbivores,晨昏 crepuscular,6,
Ovis darwini,101500,1450,180,,,555,170,1.2,1,,食草或者树叶 herbivores,晨昏 crepuscular,5,
Ovis hodgsoni,130000,1625,55,,,555,155~160,1.2,1,,食草或者树叶 herbivores,晨昏 crepuscular,5,
Ovis jubata,125000,1600,120,,,555,170,1.2,1,,食草或者树叶 herbivores,晨昏 crepuscular,6,
Ovis karelini,100000,1725,120,,115,555,155~165,1.2,1,,食草或者树叶 herbivores,晨昏 crepuscular,6,
Ovis polii,90000,1600,99,,103.5,555,170,1.2,1,,食草或者树叶 herbivores,晨昏 crepuscular,5,
Capricornis milneedwardsii,112500,1550,137.5,,190,958,228,1,1,"2,555",食草或者树叶 herbivores,昼行性 diurnal,6,We
Capricornis rubidus,"95,000.00","1,625.00",,,,958,228,1,1,"2,555",食草或者树叶 herbivores,昼行性 diurnal,4,
Capricornis swinhoei,21000,970,95,,,840,215,1,0.8,"2,422",食草或者树叶 herbivores,昼行性 diurnal,5,J
Capricornis thar,112500,1550,137.5,,,958,228,1,1,"2,555",食草或者树叶 herbivores,昼行性 diurnal,6,Ha
Dugong dugon,615000,3200,,,,"3,776",373,1,0.2,"10,246",食草或者树叶 herbivores,昼行性 diurnal,2,
Eubalaena japonica,"23,000,000.00","17,603.54",,,,"2,343",350,1,0.3,"10,023",食无脊椎动物 invertivores,昼行性 diurnal,2,
Eschrichtius robustus,"27,300,000.00","13,700.00",,,,"3,189",380,1,0.5,"10,444","食无脊椎动物 invertivores, 食鱼 piscivores",昼行性 diurnal,2,
Balaenoptera acutorostrata,"7,500,000.00","7,864.66",,,,"2,681",307,1,1,"8,030","食无脊椎动物 invertivores, 食鱼 piscivores",昼行性 diurnal,2,
Balaenoptera borealis,"20,000,000.00","19,191.08",,,,"3,275",300~330,1,0.5,"8,505","食无脊椎动物 invertivores, 食鱼 piscivores",昼行性 diurnal,2,
Balaenoptera edeni,"20,000,000.00","14,423.09",,,,"1,887",376,1,0.5,"10,042","食无脊椎动物 invertivores, 食鱼 piscivores",昼行性 diurnal,2,
Balaenoptera musculus,"149,000,000.00","30,490.00",,,,"2,920~3,650",300~330,1,0.4,"11,315",食无脊椎动物 invertivores,昼行性 diurnal,2,
Balaenoptera omurai,"7,334,036.00","13,022.39",,,,"2,965",335,1,0.5,"9,155","食无脊椎动物 invertivores, 食鱼 piscivores",昼行性 diurnal,2,
Balaenoptera physalus,"38,800,000.00","17,920.53",,,,"2,190~3,650",342,1,0.4,"9,490","食无脊椎动物 invertivores, 食鱼 piscivores",昼行性 diurnal,2,
Megaptera novaeangliae,"30,000,000.00","14,028.11",,,,"1,310",300~330,1,0.5,"8,030","食无脊椎动物 invertivores, 食鱼 piscivores",昼行性 diurnal,2,
Lipotes vexillifer,187500,2350,,,,"3,367",319,1,0.6,"4,840",食鱼 piscivores,昼行性 diurnal,1,
Physeter macrocephalus,"10,100,000.00","10,987.69",,,,"2,555~4,745",420~510,1,0.2,"9,965",食无脊椎动物 invertivores,全天活动 cathemeral,2,
Kogia breviceps,"424,600.00","4,000.00",,,,913,335,1,1,"4,380",食无脊椎动物 invertivores,昼行性 diurnal,1,
Kogia sima,"186,650.00","2,429.02",,,,152,274,1,0.5,"4,380",食无脊椎动物 invertivores,昼行性 diurnal,1,
Ziphius cavirostris,"2,950,000.00","8,500.00",,,,"3,519",365,1,0.3,"8,254","食无脊椎动物 invertivores, 食鱼 piscivores",全天活动 cathemeral,1,
Mesoplodon densirostris,"1,070,000.00","4,740.00",,,,"3,788",358,1,0.4,"6,677","食无脊椎动物 invertivores, 食鱼 piscivores",全天活动 cathemeral,1,
Mesoplodon ginkgodens,"1,500,000.00",4990,,,,"3,332",356,1,0.4,"6,931","食无脊椎动物 invertivores, 食鱼 piscivores",全天活动 cathemeral,1,
Mesoplodon peruvianus,"1,060,000.00",3800,,,,"2,951",341,1,0.5,"6,185","食无脊椎动物 invertivores, 食鱼 piscivores",全天活动 cathemeral,1,
Berardius bairdii,"11,400,000.00","9,900.00",,,,"5,051",446,1,0.3,"9,855","食无脊椎动物 invertivores, 食鱼 piscivores",全天活动 cathemeral,1,
Indopacetus pacificus,"2,150,000.00","5,200.00",,,,"3,424",359,1,0.4,"7,843","食无脊椎动物 invertivores, 食鱼 piscivores",全天活动 cathemeral,1,
