scientific_name,island_special,body_length,SpawnLoc,Young_site,Adult_site,mature_period,mate_month,parent_exist,fert_mode, snout-vent length,hindlimb length,interorbital distance,activity time,TAIL
Leptobrachella dorsospina,0,32.775,水栖,静水和激流,水栖,,,0,0,32.7,11.425,3.185,2,0
Leptobrachella eos,0,37.3,,,,,,,,,,,,
Leptobrachella feii,0,23.9,水栖,静水和激流,半水栖,0,,0,0,,,,,
Leptobrachella flaviglandulosa,0,27.14,水栖,静水和激流,水栖,,,0,0,27.4,10.915,3.06,2,0
Leptobrachella jinshaensis,0,30.45,水栖,,半水栖,,,0,0,30.8,10.7,3.5,2,0
Leptobrachella laui,0,26.925,,,半水栖,,2~9,,,,,,,
Leptobrachella liui,0,25.75,,静水和激流,陆栖,,6,,,,,,,
Leptobrachella mangshanensis,0,27.6,水栖,,陆栖,,4~6,0,0,67.75,24.7,8.3,2,0
Leptobrachella maoershanensis,0,28.45,水栖,,陆栖,,4~7,0,0,28.25,10.6,3.55,2,0
Leptobrachella niveimontis,0,,水栖,静水和激流,半水栖,0,,0,0,25.8,8.81,2.945,2,0
Leptobrachella nyx,0,25.8,,,,,,,,,,,,
Leptobrachella oshanensis,0,30.5,水栖,静水和激流,半水栖,0,4~7,0,0,29.95,10.55,3.15,2,0
Leptobrachella pelodytoides,0,40.25,水栖,静水和激流,半水栖,0,,0,0,34.2,12.4,3.6,2,0
Leptobrachella purpuraventra,0,31.35,水栖,,水栖,,7,0,0,31.45,10.75,3.1,2,0
Leptobrachella purpurus,0,26.25,,,半水栖,,4,,,,,,,
Leptobrachella shangsiensis,0,,水栖,,水栖,,1~5,0,0,30.35,9.57,3.25,2,0
Leptobrachella shiwandashanensis,0,31.525,,,半水栖,,3~4,,,,,,,
Leptobrachella suiyangensis,0,30.6,水栖,静水和激流,半水栖,,6,0,0,30.6,11.55,3.15,2,0
Leptobrachella sungi,0,54.25,水栖,静水和激流,半水栖,0,,0,0,54.1,21.9,10.05,2,0
Leptobrachella tengchongensis,0,26.9,水栖,,半水栖,,,0,0,26.845,9.005,3.125,2,0
Leptobrachella ventripunctata,0,27,水栖,静水和激流,半水栖,0,5,0,0,26.5,9.6,3,2,0
Leptobrachella wuhuangmontis,0,31.15,水栖,,水栖,,3~4,0,0,31.7,11.7,3.05,2,0
Leptobrachella wulingensis,0,31.425,水栖,静水和激流,半水栖,,,0,0,30.2,10.45,3.2,2,0
Leptobrachella yeae,0,31.55,,,水栖,,4~5,,,,,,,
Leptobrachella yingjiangensis,0,26.65,水栖,,半水栖,,5~6,0,0,26.5,10.3,3.1,2,0
Leptobrachella yunkaiensis,0,31.125,水栖,,水栖,,4~6,0,0,31.15,11.15,2.95,2,0
Leptobrachium ailaonicum,0,75.75,水栖,静水和激流,陆栖,0,2~3,1,0,75.65,27.75,8.65,2,0
Leptobrachium bompu,0,50.25,,,,,,,,,,,,
Leptobrachium boringii,0,73.5,水栖,静水和激流,半水栖,0,2~3,1,0,71.75,27.15,7.35,2,0
Leptobrachium chapaense,0,52.7,水栖,静水和激流,半水栖,0,,0,0,48.8,19.9,6.2,2,0
Leptobrachium guangxiense,0,60,水栖,静水和激流,半水栖,0,4~5,0,0,59.75,25.7,,2,0
Leptobrachium hainanense,0,58.775,水栖,静水和激流,半水栖,0,,0,0,52.3,22.4,6.3,2,0
Leptobrachium huashen,0,54.5,水栖,静水和激流,半水栖,0,2,0,0,49.4,19.4,6.3,2,0
